Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,13.3170795440674,18.6647891998291,19.7837009429932,29.9304599761963,30.0831604003906,40.2233810424805,46.7327613830566,53.2468299865723,54.6161804199219,56.6773414611816,56.6886596679688,55.6561584472656,55.6444091796875,..,..
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,75.0189895629883,74.170280456543,76.8870620727539,77.9558868408203,81.2808685302734,83.6489181518555,85.409309387207,88.4116363525391,90.8483505249023,92.7414703369141,95.8315734863281,96.4260864257813,95.7654876708984,..,..
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,73.7556610107422,77.2134017944336,78.7822265625,79.7915802001953,70.2812118530273,76.7558517456055,93.0700302124023,97.1719207763672,99.8601913452148,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,23.5545902252197,24.9924507141113,28.7813091278076,28.8987197875977,..,..,..,..,..,..
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,102.672256469727,110.871238708496,108.522506713867,106.206718444824,106.116546630859,105.393508911133,..,102.318222045898,102.705459594727,..,..
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,64.0377731323242,65.8538589477539,65.9310073852539,65.8479309082031,64.6981582641602,65.3422927856445,66.8289031982422,68.0508804321289,70.6914901733398,71.7165603637695,70.2746887207031,70.7350463867188,..,..,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.7509918212891,95.4969329833984,94.005989074707,93.3450698852539,93.7067489624023,95.2462768554688,98.8308181762695,101.801116943359,103.599678039551,105.19255065918,106.323143005371,106.777900695801,..,..,..
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,88.3207397460938,91.0585632324219,93.8858337402344,94.8729705810547,92.7056121826172,96.6328811645508,..,..,..,..,..,88.5023574829102,..,..
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.0911712646484,97.25244140625,95.9288177490234,97.3563690185547,102.546356201172,94.6491317749023,96.7234420776367,95.8235397338867,97.0151214599609,111.174522399902,..,..,..,..,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,156.194351196289,149.94206237793,148.366104125977,127.389617919922,126.36637878418,128.034057617188,130.318542480469,132.456695556641,134.268112182617,136.879623413086,137.581512451172,137.564788818359,..,..,..
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.6250534057617,99.6793823242188,100.512802124023,100.472991943359,99.8067474365234,99.4811630249023,99.6886367797852,98.8622436523438,98.193489074707,97.7844161987305,98.9362335205078,99.2964019775391,100.02188873291,..,..
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,86.3785171508789,89.2948608398438,91.601318359375,95.0630722045898,94.4456634521484,92.9817428588867,92.6336822509766,..,..,..,..,..,..,..
Bahrain,BHR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,94.2609710693359,95.3696975708008,96.1961898803711,96.3959503173828,..,91.797721862793,91.991081237793,92.8599624633789,95.2977981567383,91.6528015136719,96.6312866210938,98.8924407958984,102.130897521973,..,..
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,50.2781181335449,46.8372993469238,45.516788482666,46.0980911254883,46.8709602355957,44.8864517211914,48.5376091003418,50.1194190979004,50.8635406494141,53.5320510864258,58.3092613220215,..,63.524528503418,..,..
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,105.457382202148,107.744453430176,108.550003051758,105.884437561035,105.416030883789,104.495941162109,103.227142333984,101.902473449707,103.608627319336,..,..,109.247566223145,..,..,..
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,110.763786315918,109.52855682373,107.05786895752,106.308082580566,107.004867553711,106.228012084961,107.031799316406,107.119422912598,..,..
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,158.987564086914,107.916496276855,108.354248046875,108.503578186035,107.870719909668,106.412826538086,105.695953369141,105.78588104248,106.481132507324,106.309463500977,163.101013183594,164.811737060547,166.808471679688,..,..
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,76.9527969360352,78.2889633178711,76.5187072753906,76.7253265380859,75.3678665161133,74.8418731689453,74.4397201538086,75.3597869873047,76.0342864990234,78.3836517333984,80.1630401611328,79.8772583007813,80.7922134399414,..,..
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,26.5806903839111,28.3475093841553,..,..,..,..,..,..,47.6814994812012,..,54.1660690307617,54.3636016845703,56.8119583129883,..,..
