Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bhutan,GDP (current US$),622026107.771576,702682018.976169,818869145.124717,897731524.929922,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1944782820.88824,2059258652.94668,2212638830.39439,0
Bolivia,GDP (current US$),8082364868.39357,8773451738.91129,9549077869.1065,11451869164.7112,13120159975.5451,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33806395513.7482,0
Bosnia and Herzegovina,GDP (current US$),8370020196.19158,10022840634.9206,11225138297.1959,12866524918.2221,15776422673.198,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16209702863.6235,16910277133.6463,0
Botswana,GDP (current US$),7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070441.9283,10267133177.7334,12786654365.8738,15682926895.9668,14686278707.4589,14915780538.6724,16259445052.5565,14430573505.3797,15581137273.7728,0
Brazil,GDP (current US$),558320116997.075,669316239316.239,891629970423.924,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170,1803652649613.75,1796186586414.45,0
British Virgin Islands,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,GDP (current US$),6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653731.9916,0
Bulgaria,GDP (current US$),21074775206.3254,26094622563.6468,29821662537.3229,34304448149.8108,44765733379.986,54409138498.3548,51884481410.3931,50610031135.7791,57418391041.5926,53903028252.2996,55758744571.1183,56732006512.0065,50199117547.0415,53237882472.7108,0
Burkina Faso,GDP (current US$),4205691222.11396,4838551099.70985,5462709498.45119,5844669845.53733,6771277870.96412,8369637065.40255,8369175126.25316,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,11693235542.0671,0
Burundi,GDP (current US$),784654423.620476,915257323.3961,1117257279.46188,1273180597.02711,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99793,2714505634.52629,3093647226.8107,3066681386.73841,3007029030.4001,0
